,2009 WIC Participants,2011 WIC Participants,2012 WIC Participants,2013 WIC Participants,2014 WIC Participants,2015 WIC Participants,2009 National Lunch School Program Participants,2011 National Lunch School Program Participants,2012 National Lunch School Program Participants,2013 National Lunch School Program Participants,2014 National Lunch School Program Participants,2015 National Lunch School Program Participants,2009 School Breakfast Program Participants,2011 School Breakfast Program Participants,2012 School Breakfast Program Participants,2013 School Breakfast Program Participants,2014 School Breakfast Program Participants,2015 School Breakfast Program Participants,2009 Child and Adult Care Participants,2011 Child and Adult Care Participants,2012 Child and Adult Care Participants,2013 Child and Adult Care Participants,2014 Child and Adult Care Participants,2015 Child and Adult Care Participants,2009 Summer Food Participants,2011 Summer Food Participants,2012 Summer Food Participants,2013 Summer Food Participants,2014 Summer Food Participants,2015 Summer Food Participants,2009 State Population,2010 State Population,2011 State Population,2012 State Population,2013 State Population,2014 State Population,2015 State Population,2016 State Population,%Pop WIC Participants 2009,%Pop WIC Participants 2011,%Pop WIC Participants 2012,%Pop WIC Participants 2013,%Pop WIC Participants 2014,%Pop WIC Participants 2015,%Pop National School Lunch Program Participants 2009,%Pop National School Lunch Program Participants 2011,%Pop National School Lunch Program Participants 2012,%Pop National School Lunch Program Participants 2013,%Pop National School Lunch Program Participants 2014,%Pop National School Lunch Program Participants 2015,%Pop School Breakfast Program Participants 2009,%Pop School Breakfast Program Participants 2011,%Pop School Breakfast Program Participants 2012,%Pop School Breakfast Program Participants 2013,%Pop School Breakfast Program Participants 2014,%Pop School Breakfast Program Participants 2015,%Pop Child and Adult Care Participants 2009,%Pop Child and Adult Care Participants 2011,%Pop Child and Adult Care Participants 2012,%Pop Child and Adult Care Participants 2013,%Pop Child and Adult Care Participants 2014,%Pop Child and Adult Care Participants 2015,%Pop Summer Food Participants 2009,%Pop Summer Food Participants 2011,%Pop Summer Food Participants 2012,%Pop Summer Food Participants 2013,%Pop Summer Food Participants 2014,%Pop Summer Food Participants 2015,Population Low Access to Stores 2010,Population Low Access to Stores 2015,%Chg Population Low Access to Stores 2010 to 2015,%Pop Low Access to Stores 2010,%Pop Low Access to Stores 2015,Low Income & Low Access to Stores 2010,Low Income & Low Access to Stores 2015,%Chg Low Income & Low Access to Stores 2010 to 2015,%Pop Low Income & Low Access to Stores 2010,%Pop Low Income & Low Access to Stores 2015,Households No Car & Low Access to Stores 2010,Households No Car & Low Access to Stores 2015,%Chg Households No Car & Low Access to Stores 2010 to 2015,%Pop Households No Car & Low Access to Stores 2010,%Pop Households No Car & Low Access to Stores 2015,Children Low Access to Stores 2010,Children Low Access to Stores 2015,%Chg Children Low Access to Stores 2010 to 2015,%Pop Children Low Access to Stores 2010,%Pop Children Low Access to Stores 2015,Seniors Low Access to Stores 2010,Seniors Low Access to Stores 2015,%Chg Seniors Low Access to Stores 2010 to 2015,%Pop Seniors Low Access to Stores 2010,%Pop Seniors Low Access to Stores 2015,Grocery Stores 2009,Grocery Stores 2014,%Chg Grocery Stores 2009 to 2014,"Grocery Stores 2009 per 1,000/pop","Grocery Stores 2014 per 1,000/pop",Supercenters & Club Stores 2009,Supercenters & Club Stores 2014,%Chg Supercenters & Club Stores 2009 to 2014,"Supercenters & Club Stores 2009 per 1,000/pop","Supercenters & Club Stores 2014 per 1,000/pop",Convenience Stores 2009,Convenience Stores 2014,%Chg Convenience Stores 2009 to 2014,"Convenience Stores 2009 per 1,000/pop","Convenience Stores 2014 per 1,000/pop",Specialized Food Stores 2009,Specialized Food Stores 2014,%Chg Specialized Food Stores 2009 to 2014,"Specialized Food Stores 2009 per 1,000/pop","Specilaized Food Stores 2014 per 1,000/pop",SNAP Authorized Stores 2012,SNAP Authorized Stores 2016,%Chg SNAP Authorized Stores 2009 to 2014,"SNAP Authorized Stores 2012 per 1,000/pop","SNAP Authorized Stores 2016 per 1,000/pop",WIC Authorized Stores 2008,WIC Authorized Stores 2012,%Chg WIC Authorized Stores 2009 to 2014,"WIC Authorized Stores 2008 per 1,000/pop","WIC Authorized Stores 2012 per 1,000/pop",Fast-food Restaurants 2009,Fast-food Restaurants 2014,%Chg Fast-food Restaurants 2009 to 2014,"Fast-food Restaurants 2009 per 1,000/pop","Fast-food Restaurants 2014 per 1,000/pop",Full-service Restaurants 2009,Full-service Restaurants 2014,%Chg Full-service Restaurants 2009 to 2014,"Full-service Restaurants 2009 per 1,000/pop","Full-service Restaurants 2014 per 1,000/pop",%Chg Household Food Insecurity 2010 to 2012,%Chg Household Food Insecurity 2013 to 2015,%Chg Household Food Insecurity 2010-12 to 2013-15,%Chg Household Very Low Food Insecurity 2010 to 2012,%Chg Household Very Low Food Insecurity 2013 to 2015,%Chg Household Very Low Food Insecurity 2010-12 to 2013-15
AK,25816.0,26295.0,24969.3333,23054.6667,19604.6667,19682.0,53554.0,54410.0444,53919.813,52495.0258,51002.8767,53616.9244,16943.0,19974.2299,20758.7199,20740.7407,21044.7081,25111.231,9874.0,9616.0,10540.75,10962.75,11429.5,10786.5,2345.0,6564.0,4661.0,5078.0,6670.0,5850.0,698473.0,714146.0,722718.0,730307.0,735132.0,736732.0,738432.0,741894.0,0.03696062696768522,0.036383485674910544,0.034190187551262685,0.03136126124287883,0.026610309719138033,0.026653774484312706,0.07667297089508113,0.07528530408817824,0.07383170776125657,0.07140897933976484,0.0692285345281595,0.07260915615791298,0.024257201065753436,0.02763765382901768,0.028424648675146207,0.028213627892677777,0.028564943697301053,0.03400615222525568,0.014136552164507432,0.013305327942572345,0.014433313661241095,0.014912627936207375,0.015513782488068931,0.014607303042121685,0.0033573237619779145,0.009082380679601171,0.006382247465791783,0.006907602988306862,0.00905349570807295,0.007922191887675506,223495.13733033778,223550.1114395563,0.0002459745204087344,0.3129544061443147,0.30273621868981343,59540.92870099908,64994.543182457164,0.09159438054526976,0.08337360805913507,0.0880169645714936,13877.489633119609,13515.92395846569,-0.026054112394436016,0.019432286441595427,0.018303545835589047,60647.640258128806,60371.20965590263,-0.004557977871020672,0.0849233073603,0.08175594998036737,16385.33731281069,16124.615396464997,-0.015911904123075415,0.022943960076525934,0.021836290134318388,215.0,213.0,-0.009302325581395349,0.3078143321216425,0.2891146305576519,19.0,24.0,0.2631578947368421,0.027202196792145153,0.03257629640086219,177.0,204.0,0.15254237288135594,0.2534099385373522,0.27689851940732857,48.0,54.0,0.125,0.0687213392643667,0.07329666690193992,500.99999999999994,498.74999999999966,-0.004491017964072424,0.6860128685607558,0.6722658492992256,191.0,187.0,-0.020942408376963352,0.2734536624894592,0.25605669944283704,396.0,429.0,0.08333333333333333,0.5669510489310253,0.5823012981654117,500.0,566.0,0.132,0.7158472840038198,0.7682576567869999,12.1,13.3,1.2,4.4,4.4,0.0
AL,140810.0,143768.0,141899.8333,139000.5,131046.25,132132.75,579880.0,571291.1423,562959.0076,539664.2694,531099.2449,531306.4845,212316.0,216714.3713,224489.7519,224172.9594,236579.8873,254270.2865,43136.0,42773.5,42903.75,41862.5,45038.75,51291.25,26599.0,24724.0,26077.0,30308.0,42484.0,49907.0,4708708.0,4785401.0,4802740.0,4817528.0,4833722.0,4849377.0,4858979.0,4863300.0,0.029904169041698913,0.029934579011147804,0.029454905773251345,0.02875641172578812,0.027023316603349255,0.027193521519644354,0.12315055424970077,0.11895108673382276,0.11685640594097221,0.11164569857348022,0.10951906706779037,0.10934529342481208,0.04509007566406751,0.04512306960193556,0.046598535991902904,0.04637688294858496,0.04878562489573403,0.05232998259510897,0.009160899337992502,0.008906061956299945,0.008905760381672925,0.008660510472054454,0.009287533223339823,0.01055597276711836,0.005648895620624596,0.005147894743417299,0.005412942073196046,0.006270116485805348,0.008760712974058317,0.010271087814950425,1025391.9306059038,962910.8899931818,-0.06093381345004541,0.21427502744407498,0.19817144506967035,367290.19932790037,378623.2001703807,0.03085571263055331,0.07675223023690185,0.07792237837833436,58525.47871205518,58199.87375918064,-0.005563473551006881,0.012230005115988226,0.011977798990113076,245216.49742596707,231385.8025749262,-0.05640197538184181,0.051242622598600844,0.047620251615602,134778.38847969007,125711.51750291989,-0.06727243943962484,0.02816449206235592,0.025872002637368857,776.0,760.0,-0.020618556701030927,0.16480104521240221,0.1567211623266246,111.0,119.0,0.07207207207207207,0.02357334538476372,0.02453923462745833,3151.0,3126.0,-0.007933989209774674,0.6691856874539683,0.6446188860960902,213.0,179.0,-0.1596244131455399,0.045235338441033085,0.03691195796903396,4323.833333333334,4866.666666666664,0.1255444628608866,0.8975211629975651,1.0006922597139112,815.0,741.0,-0.09079754601226994,0.1730835719692111,0.15381332500817846,3322.0,3561.0,0.07194461167971102,0.705501381695361,0.7343211303225136,2759.0,2777.0,0.006524102935846321,0.5859356749239919,0.5726508786592587,17.9,17.6,-0.3,6.8,7.3,0.5
AR,94107.0,93461.0,94292.75,89776.8333,83288.5833,84219.5833,351950.0,352817.8113,348908.9057,332496.9435,327469.1358,320995.2055,155258.0,158053.0984,162017.9792,166376.4833,172604.6986,180502.577,43974.0,51644.25,55787.0,67629.75,76841.25,67984.5,17494.0,21841.0,26217.0,41946.0,45837.0,31081.0,2889450.0,2921588.0,2937979.0,2949828.0,2959373.0,2966369.0,2978204.0,2988248.0,0.032569174064268284,0.031811323362079855,0.031965507819438965,0.030336437245321896,0.028077620585975648,0.02827864823900579,0.12180518783851597,0.12008860897235821,0.11828110171169302,0.11235384775761623,0.11039393136861934,0.10778147014106487,0.053732717299139976,0.053796537824130124,0.054924551261971884,0.0562201801868166,0.05818719741205494,0.06060786198662012,0.01521881326896122,0.017578154915334657,0.0189119501204816,0.022852729277451675,0.025904144089963183,0.022827348294475462,0.0060544394261883745,0.0074340218224840954,0.008887636838486854,0.014173948332974586,0.015452224588377238,0.010436155481625839,619650.0845433961,587921.0691716498,-0.05120473015851625,0.21209358901508227,0.19740792409507535,245604.34385342727,254969.89736883983,0.03813268677772966,0.08406535892584008,0.08561196525450904,35301.628510712595,33671.43290383845,-0.04617904826627034,0.012083027624262077,0.011305952481374162,149615.78761923013,143069.84472060343,-0.0437516855860561,0.05121043337364137,0.04803896735099524,87467.34961393205,84960.69642115588,-0.028658158773990118,0.02993829027704524,0.028527493892680247,542.0,475.0,-0.12361623616236163,0.18757895101143818,0.16012842636907276,74.0,86.0,0.16216216216216217,0.02561041028569451,0.02899167298471633,1406.0,1507.0,0.07183499288762446,0.4865977954281957,0.5080285021856688,120.0,119.0,-0.008333333333333333,0.04153039505788299,0.040116384711409804,2330.333333333333,2614.916666666666,0.12212129881275914,0.7899895632332913,0.8750668173011965,462.0,425.0,-0.08008658008658008,0.15989202097284952,0.14407619698504456,1881.0,1939.0,0.03083466241360978,0.6509889425323159,0.6536610920623833,1892.0,1929.0,0.019556025369978858,0.6547958954126218,0.6502899672967186,14.9,14.9,0.0,6.4,6.0,-0.4
AZ,208873.0,199343.0,193214.0834,182500.75,173020.1667,167072.25,655498.0,661436.7734,662439.5302,646766.7506,644173.319,647390.6269,231674.0,261118.6624,274596.3083,289520.1966,300355.3878,308723.3609,45772.0,42160.5,41670.75,42945.25,40344.0,42557.0,12403.0,23732.0,27554.0,23688.0,23209.0,16007.0,6595778.0,6413158.0,6482505.0,6551149.0,6626624.0,6731484.0,6828065.0,6931071.0,0.031667681962613055,0.030750921133111352,0.029493159657947025,0.027540531951111155,0.025703123813411725,0.024468462148500344,0.09938145280208036,0.10203413239172202,0.10111806802135015,0.09760124470620335,0.09569558792682267,0.09481319039874402,0.03512459030610187,0.040280518472411514,0.04191574764976342,0.043690451819810516,0.04461949070962659,0.04521388722866581,0.006939590750325435,0.006503735824345681,0.006360830748926639,0.006480713256101448,0.00599332925696622,0.006232658886522024,0.001880445339427737,0.0036609304582102134,0.004205979744927188,0.0035746709033136633,0.0034478281460670487,0.0023442951992987764,1219018.8340866067,1254357.8015200663,0.028989681246343147,0.19008089837902117,0.18370618931132998,416946.1046505576,482198.70573938853,0.1565012848447621,0.06501416379427384,0.07062011063740438,35297.500696637966,37853.37707988582,0.07240955684693262,0.005503918770851734,0.005543792726033776,283298.51157548017,291600.58538982406,0.029305038590476125,0.04417457227398423,0.042706181823082244,220521.45637952772,230182.9906315533,0.043812218596078985,0.03438578253951138,0.033711306297106614,861.0,825.0,-0.041811846689895474,0.13053805024972034,0.1225584135682414,125.0,142.0,0.136,0.018951517167497146,0.021094902699018522,1914.0,1897.0,-0.008881922675026124,0.2901856308687163,0.28181007338055025,350.0,326.0,-0.06857142857142857,0.05306424806899201,0.048429142816056606,3667.333333333332,3822.1666666666624,0.04221959643701064,0.5598000187956849,0.5514539768336902,713.0,725.0,0.016830294530154277,0.10809945392340373,0.11066760960558215,4071.0,4211.0,0.03438958486858266,0.6172130111110471,0.6255678539828662,3799.0,4053.0,0.06685969992103186,0.5759745097545733,0.6020960608388878,19.7,19.2,-0.5,8.1,7.4,-0.7
CA,1439006.0,1466564.0,1472468.25,1431881.4167,1348938.5833,1265005.25,3175063.0,3282276.5192,3355494.4265,3294580.3668,3280666.0674,3271856.5264,1172714.0,1288654.6806,1406620.1606,1517341.2442,1645954.0932,1691545.8468,327838.0,327270.25,362931.0,451422.0,512186.5,563089.25,95080.0,115628.0,104384.0,114689.0,115937.0,128051.0,36961664.0,37338198.0,37691912.0,37999878.0,38332521.0,38802500.0,39144818.0,39250017.0,0.03893239222130259,0.038909249284037384,0.03874928887929588,0.03735421984638057,0.03476421836995039,0.032316033504102636,0.08590151677153929,0.08708171979176858,0.08830276840625646,0.08594739612351611,0.08454780149217189,0.08358338839128081,0.03172784645193463,0.03418915656494157,0.03701643885804055,0.03958365389534385,0.04241876407963405,0.04321251019228139,0.008869676430152063,0.008682771253419036,0.009550846452717558,0.011776475645836077,0.013199832485020295,0.01438477118478364,0.0025723950090558692,0.003067713837387713,0.0027469561875961813,0.0029919503598524085,0.002987874492622898,0.003271212041399707,4594847.939237527,4323349.506163686,-0.0590875773614597,0.12306024889678732,0.11044500209871165,1164227.522468169,1225949.4372758963,0.0530153373087045,0.031180602836488495,0.031318307247613114,82537.6650210196,82950.54944599471,0.005002375883422009,0.0022105422715102533,0.0021190684663802677,1140620.3849205414,1069902.9133147155,-0.06199913007056445,0.030548351179683107,0.0273319169171949,578423.8806829967,550467.0876278945,-0.04833270891597897,0.01549147820907149,0.014062323335566267,7813.0,8097.0,0.03634967362088826,0.21138117591242647,0.2086721216416468,193.0,270.0,0.39896373056994816,0.005221626385651902,0.006958314541588815,8099.0,8667.0,0.0701321150759353,0.21911892278442877,0.22336189678500096,3149.0,2794.0,-0.11273420133375675,0.08519638076900435,0.07200566973777463,22237.833333333325,23505.49999999999,0.057004954019801005,0.5852080191766228,0.5988659826567716,4293.0,5814.0,0.35429769392033544,0.11614736825701355,0.15300049121210338,25842.0,28292.0,0.09480690349044192,0.6991568344974946,0.729128277817151,26962.0,29796.0,0.1051108968177435,0.7294585005696714,0.7678886669673346,15.6,12.6,-3.0,5.7,4.5,-1.2
CO,107930.0,104129.0,103768.75,96873.5833,91990.9167,90953.5,390868.0,399392.6645,389955.4117,375033.3213,372674.6974,378228.9344,107139.0,126775.5004,142955.6514,155733.3094,168991.6098,185013.6641,34480.0,33486.25,32550.25,32507.25,31816.5,43319.75,12804.0,15569.0,16646.0,17933.0,19076.0,20180.0,5024748.0,5047692.0,5116796.0,5189458.0,5268367.0,5355866.0,5456574.0,5540545.0,0.021479684155304903,0.02035043023016747,0.01999606702665288,0.018387781887632352,0.017175731562365452,0.016668609277543014,0.0777885776560337,0.07805522528160201,0.07514376485945161,0.07118587624969938,0.06958252827834005,0.06931619261463329,0.02132226332544438,0.024776344493702702,0.02754731831339612,0.02956007229564683,0.031552620958029944,0.033906561901295575,0.006862035668256398,0.006544378552516067,0.00627237950475753,0.006170270598080962,0.005940495897395491,0.007939001651952306,0.0025481874911935883,0.003042724392373665,0.003207656753364224,0.0034039010570068484,0.003561702253193041,0.003698291272142557,1061756.210787504,944824.5268435208,-0.11013044497027713,0.2103448884732872,0.17315343415914836,290873.76712280855,274704.31444520777,-0.055589243531796215,0.057625102150212125,0.050343734813311024,24012.017137325405,20638.53879818372,-0.1404912515199647,0.004757028982221064,0.003782325466159484,266013.4058809847,240513.82255849024,-0.09585826412787271,0.05270000742537078,0.04407780826549594,119813.47071376444,103548.50904032595,-0.13575236220554568,0.023736287933923947,0.018976835838811303,717.0,814.0,0.13528591352859135,0.14269372314790713,0.15198289128219414,105.0,115.0,0.09523809523809523,0.02089657033546757,0.02147178439490458,1612.0,1621.0,0.005583126550868486,0.3208121083883212,0.30265880438382886,362.0,381.0,0.052486187845303865,0.07204341391846915,0.07113695525616212,2413.7499999999995,2570.666666666667,0.06500949421715897,0.46512564510590504,0.4639736102976633,423.0,433.0,0.02364066193853428,0.08418332620859793,0.08343838605110591,3577.0,3877.0,0.08386916410399776,0.7118764960949286,0.7238792008612612,4344.0,4813.0,0.10796500920810313,0.8645209670216298,0.8986408547189194,14.1,12.1,-2.0,5.8,5.1,-0.7
CT,60148.0,56083.0,56583.5833,54248.1667,52560.75,51295.4167,302997.0,301544.8879,296699.3887,280253.3861,281934.436,280151.6241,68912.0,81660.4339,86529.306,87970.8738,93236.4857,95008.63,18678.0,19655.75,20326.25,20779.75,20479.75,21873.25,12285.0,10834.0,10185.0,12171.0,17274.0,28276.0,3518288.0,3575498.0,3580709.0,3591765.0,3596080.0,3596677.0,3590886.0,3576452.0,0.017095814782644287,0.015662540575064884,0.015753698613355828,0.01508536147694156,0.01461369758807922,0.014284891444618404,0.08612057909983492,0.08421373753075158,0.08260545684364094,0.07793302320860493,0.07838747710734102,0.07801740965878616,0.019586799034075664,0.022805660527007363,0.02409102655658151,0.024462991312762788,0.02592295213053605,0.026458269630392054,0.005308832022847476,0.005489345825086596,0.005659125805836406,0.005778444862183266,0.005694075392369123,0.006091323979652933,0.003491755080880246,0.0030256577677772755,0.002835653223415229,0.0033845186981379723,0.004802766553682746,0.007874379749176109,1032347.055084193,1033866.2656973714,0.001471608414724968,0.28872818697820357,0.28791397602078467,139156.54777927487,155237.4665315825,0.11555991441965492,0.03891948695797757,0.043230964873733804,19993.617100711475,21689.074279248725,0.08479992239507862,0.005591841220638769,0.006040034208618354,236246.5462751193,237059.85040554873,0.003442607493115702,0.06607374588801876,0.06601709171651474,158145.44865061715,159207.3349134186,0.006714617915735401,0.044230327817444494,0.04433650494986992,750.0,814.0,0.08533333333333333,0.21317186085959988,0.22632001706019195,24.0,27.0,0.125,0.006821499547507197,0.007506929312807349,1157.0,1194.0,0.03197925669835782,0.3288531240194094,0.33197309627748056,283.0,284.0,0.0035335689045936395,0.08043684883102237,0.0789617749939736,2287.250000000001,2389.8333333333326,0.044850074689400644,0.6368039111690217,0.6682134510216641,680.0,662.0,-0.026470588235294117,0.1932758205127039,0.18431049915570757,2021.0,2429.0,0.20188025729836714,0.5744271077296685,0.6753456037336686,3310.0,3337.0,0.008157099697885197,0.9407984792603675,0.9278008561791898,13.4,13.1,-0.3,4.9,6.3,1.4
DC,17473.0,16537.0,16474.25,15674.25,14500.5,14525.9167,44579.0,46699.0291,47734.6278,50569.4594,50809.4211,52668.3447,20431.0,29829.9173,33281.4335,34873.4268,34873.9063,34498.7415,5975.0,5189.0,7827.75,4989.5,5764.75,5581.0,35298.0,36690.0,36158.0,34778.0,39449.0,28713.0,599657.0,604912.0,617996.0,633427.0,646449.0,658893.0,672228.0,681170.0,0.029138324075263025,0.026759072874258084,0.026008127219079705,0.024246692314474922,0.02200736690175795,0.02160861597553211,0.07434083150867912,0.0755652611020136,0.0753593197006127,0.07822652583575812,0.0771133114177871,0.07834893027365715,0.034071144003988946,0.04826878701480269,0.05254186117737324,0.05394613774636514,0.0529280267053983,0.051320000803298876,0.009964029436828054,0.0083964944756924,0.012357777612889883,0.007718319619954552,0.008749144398255863,0.008302242691467775,0.05886365038680446,0.05936931630625441,0.05708313665189517,0.05379852084232476,0.059871633178679995,0.04271318659740445,16970.7056492742,12688.2801039051,-0.25234222040450344,0.02805483384240055,0.018874965196191022,5764.58430485651,4728.93178909536,-0.1796577968143584,0.00952962464764546,0.007034714098632249,1872.74166915113,1227.16606889491,-0.3447221850672252,0.0030958910868872334,0.001825520610410322,3930.12223937515,3454.45297601835,-0.12103167137936825,0.006497014837489007,0.00513881149850698,2781.96783690478,1881.05236470728,-0.3238410812110105,0.004598962885353209,0.002798235665142303,181.0,198.0,0.09392265193370165,0.30183921808633934,0.3005040272092737,0.0,2.0,inf,0.0,0.0030353942142350883,160.0,185.0,0.15625,0.26681919830836626,0.28077396481674566,44.0,47.0,0.06818181818181818,0.07337527953480072,0.07133176403452457,424.66666666666663,421.0,-0.008634222919937116,0.6704271631406091,0.6180542302215306,23.0,24.0,0.043478260869565216,0.03835525975682765,0.03788913323871575,732.0,839.0,0.14617486338797814,1.2206978322607758,1.2733478728716194,678.0,806.0,0.1887905604719764,1.1306463528317021,1.2232638683367405,11.6,11.9,0.3,4.9,3.2,-1.7
DE,24028.0,22553.0,22213.6667,20796.9167,19872.8333,18997.9167,90073.0,94721.563,96040.1534,94570.7779,94943.4256,97977.9456,33202.0,36698.7894,38624.116,39521.9945,41136.8812,47973.9902,15773.0,18991.0,18366.75,19016.0,18886.0,19986.75,10727.0,9129.0,14366.0,8190.0,9935.0,10298.0,885122.0,899792.0,907135.0,917053.0,925749.0,935614.0,945934.0,952065.0,0.027146540250948457,0.024861790141489416,0.02422288210168878,0.022464962641061455,0.021240418912072713,0.02008376556926805,0.10176337273279841,0.10441837543474786,0.10472693879197821,0.10215596009285455,0.10147713223615722,0.1035779933906594,0.03751121314349886,0.04045570879747778,0.042117648598281675,0.04269191163047435,0.043967791418255825,0.05071600153921944,0.017820142308066007,0.02093514195792247,0.020028013648066143,0.02054120501345397,0.02018567486164166,0.021129116830561116,0.012119233280835862,0.01006355173155043,0.01566539774691321,0.008846890463829828,0.010618695316658365,0.010886594624994979,230203.22658496018,175386.25149124418,-0.2381242691812789,0.2558404904521936,0.18541066447684953,52510.089390480396,41974.73670323495,-0.200634826745418,0.05835803095657707,0.044373853464654986,7808.075455179969,5524.15292855418,-0.2925077427512061,0.008677644894797875,0.005839892559686173,52650.34434047101,39932.550551420514,-0.2415519584603105,0.05851390581431155,0.042214943697362096,33184.19297754517,25850.44503516802,-0.22100124439788835,0.0368798488734565,0.027327958435967012,142.0,165.0,0.1619718309859155,0.16042986164619116,0.1763547787869784,10.0,12.0,0.2,0.011297877580717687,0.012825802093598428,331.0,311.0,-0.06042296072507553,0.37395974792175546,0.3324020375924259,93.0,85.0,-0.08602150537634409,0.10507026150067449,0.0908494314963222,723.6666666666666,755.666666666667,0.044219253800092596,0.7891219664148819,0.7937133143920498,76.0,84.0,0.10526315789473684,0.08586386961345442,0.09159775934433452,594.0,615.0,0.03535353535353535,0.6710939282946305,0.6573223572969195,690.0,771.0,0.11739130434782609,0.7795535530695203,0.824057784513699,12.0,13.2,1.2,4.5,4.8,0.3
FL,505671.0,492071.0,495404.8333,483564.6667,466735.5833,483810.8333,1560392.0,1648779.2161,1653679.9712,1638775.1408,1652118.3028,1675731.032,610818.0,684278.7966,711285.0294,750969.4355,773079.8274,786519.3575,180614.0,203266.0,210496.5,223790.75,248434.0,269549.5,127826.0,129450.0,137796.0,145389.0,155570.0,163445.0,18537969.0,18838613.0,19057542.0,19320749.0,19552860.0,19893297.0,20271272.0,20612439.0,0.027277583644680817,0.025820276297961197,0.02564107806069009,0.024731147601936496,0.02346195219927597,0.023866821642963502,0.08417275916255983,0.08651583798687155,0.08559088321058361,0.08381255431686208,0.08304899398023365,0.0826653123691498,0.03294956421601525,0.035905931446983036,0.03681456807911536,0.03840714020864467,0.03886132235395671,0.0387997042070177,0.00974292275491452,0.010665908541615702,0.010894841602672857,0.0114454228179407,0.012488327098318595,0.01329711820748101,0.006895361622408582,0.006792586368168571,0.00713202164160406,0.0074356897149573005,0.007820222057711199,0.008062888209481872,4194766.797697584,3986500.2128062607,-0.04964914497884279,0.22266855833269594,0.19665762527414465,1228210.3997895853,1347762.434787369,0.09733839985255398,0.0651964345671088,0.06648632778383957,102808.63801130823,115812.91623789801,0.12649013232875825,0.005457335845866584,0.005713154864573767,899473.2031169065,857698.9179047503,-0.04644305696645266,0.04774625409614319,0.04231105566067834,778895.8694714474,741221.9216562742,-0.04836840108131326,0.04134571210053773,0.036565141134521514,3621.0,3608.0,-0.0035901684617508974,0.19532884103970613,0.18136762347639007,287.0,342.0,0.1916376306620209,0.01548173912686983,0.0171917204071301,7779.0,8451.0,0.08638642499035866,0.4196252566826495,0.4248164595340833,1410.0,1482.0,0.05106382978723404,0.07606011208671241,0.07449745509756377,14448.583333333334,15095.999999999996,0.044808314540640944,0.7478272883382179,0.7323733013836935,2098.0,2097.0,-0.00047664442326024784,0.11317313131767563,0.10853616492818162,11055.0,12156.0,0.09959294436906377,0.5963436447649686,0.6110600972779927,13676.0,15426.0,0.12796139221994735,0.7377291438992049,0.7754370731005524,14.8,12.7,-2.1,5.7,5.4,-0.3
